Country,Region,GDP,Family,Health,Freedom,Trust,Generosity,Dystopia,Year,Score,Rank
Denmark,Western Europe,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.73939,2016,7.525600000000001,1
Switzerland,Western Europe,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,2016,7.508659999999999,2
Iceland,Western Europe,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137,2016,7.501389999999999,3
Norway,Western Europe,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465,2016,7.49758,4
Finland,Western Europe,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2.82596,2016,7.4134899999999995,5
Canada,North America,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,2.70485,2016,7.4040300000000006,6
Netherlands,Western Europe,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,2016,7.33914,7
New Zealand,Australia and New Zealand,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2.47553,2016,7.33445,8
Australia,Australia and New Zealand,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,2016,7.31264,9
Sweden,Western Europe,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,2016,7.29139,10
Israel,Middle East and Northern Africa,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288,3.31029,2016,7.266970000000001,11
Austria,Western Europe,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2.6934299999999998,2016,7.118969999999999,12
United States,North America,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997,2.72782,2016,7.103680000000001,13
Costa Rica,Latin America and Caribbean,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553,3.3516800000000004,2016,7.0867,14
Puerto Rico,Latin America and Caribbean,1.35943,1.08113,0.77758,0.46823000000000004,0.12275,0.22202,3.0076,2016,7.03874,15
Germany,Western Europe,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,2.5093099999999997,2016,6.994479999999999,16
Brazil,Latin America and Caribbean,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,3.5073300000000005,2016,6.952070000000001,17
Belgium,Western Europe,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,2.61355,2016,6.92944,18
Ireland,Western Europe,1.4834100000000001,1.16157,0.81455,0.54008,0.29754,0.44963000000000003,2.15988,2016,6.9066600000000005,19
Luxembourg,Western Europe,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2.11055,2016,6.871180000000001,20
